State,District,Most AQI Reached,Current AQI,Major Source of Pollution
Andhra Pradesh,Anantapur,272,190,Vehicle
Andhra Pradesh,Anantapur (Area 1),280,155,Industrial Emissions
Andhra Pradesh,Anantapur (Area 2),258,64,Road Dust
Andhra Pradesh,Anantapur (Area 3),133,120,Road Dust
Andhra Pradesh,Anantapur (Area 4),221,57,Industrial Emissions
Andhra Pradesh,Anantapur (Area 5),224,39,Domestic Fuel
Andhra Pradesh,Anantapur (Area 6),81,34,Crop Burning
Andhra Pradesh,Chittoor,211,57,Industrial Emissions
Andhra Pradesh,Chittoor (Area 1),91,58,Crop Burning
Andhra Pradesh,Chittoor (Area 2),226,164,Construction Dust
Andhra Pradesh,Chittoor (Area 3),219,70,Vehicle
Andhra Pradesh,Chittoor (Area 4),254,133,Domestic Fuel
Andhra Pradesh,Chittoor (Area 5),237,152,Industrial Emissions
Andhra Pradesh,Chittoor (Area 6),78,64,Construction Dust
Andhra Pradesh,East Godavari,227,144,Construction Dust
Andhra Pradesh,East Godavari (Area 1),84,62,Crop Burning
Andhra Pradesh,East Godavari (Area 2),94,45,Domestic Fuel
Andhra Pradesh,East Godavari (Area 3),289,181,Road Dust
Andhra Pradesh,East Godavari (Area 4),247,164,Crop Burning
Andhra Pradesh,East Godavari (Area 5),168,163,Crop Burning
Andhra Pradesh,East Godavari (Area 6),291,93,Waste Burning
Andhra Pradesh,Guntur,263,85,Construction Dust
Andhra Pradesh,Guntur (Area 1),142,129,Crop Burning
Andhra Pradesh,Guntur (Area 2),241,123,Crop Burning
Andhra Pradesh,Guntur (Area 3),296,134,Crop Burning
Andhra Pradesh,Guntur (Area 4),298,47,Construction Dust
Andhra Pradesh,Guntur (Area 5),150,132,Domestic Fuel
Andhra Pradesh,Guntur (Area 6),150,148,Vehicle
Andhra Pradesh,Krishna,315,163,Construction Dust
Andhra Pradesh,Krishna (Area 1),249,183,Industrial Emissions
Andhra Pradesh,Krishna (Area 2),135,110,Industrial Emissions
Andhra Pradesh,Krishna (Area 3),206,56,Road Dust
Andhra Pradesh,Krishna (Area 4),69,38,Domestic Fuel
Andhra Pradesh,Krishna (Area 5),200,169,Domestic Fuel
Andhra Pradesh,Krishna (Area 6),315,182,Construction Dust
Andhra Pradesh,Kurnool,259,176,Road Dust
Andhra Pradesh,Kurnool (Area 1),159,60,Crop Burning
Andhra Pradesh,Kurnool (Area 2),129,111,Industrial Emissions
Andhra Pradesh,Kurnool (Area 3),182,108,Crop Burning
Andhra Pradesh,Kurnool (Area 4),127,74,Construction Dust
Andhra Pradesh,Kurnool (Area 5),273,110,Vehicle
Andhra Pradesh,Kurnool (Area 6),199,165,Vehicle
Andhra Pradesh,Nellore,288,75,Crop Burning
Andhra Pradesh,Nellore (Area 1),302,75,Crop Burning
Andhra Pradesh,Nellore (Area 2),202,67,Domestic Fuel
Andhra Pradesh,Nellore (Area 3),316,38,Industrial Emissions
Andhra Pradesh,Nellore (Area 4),227,32,Domestic Fuel
Andhra Pradesh,Nellore (Area 5),302,188,Construction Dust
Andhra Pradesh,Nellore (Area 6),192,143,Vehicle
Andhra Pradesh,Prakasam,187,50,Road Dust
Andhra Pradesh,Prakasam (Area 1),282,108,Industrial Emissions
Andhra Pradesh,Prakasam (Area 2),289,118,Construction Dust
Andhra Pradesh,Prakasam (Area 3),149,55,Waste Burning
Andhra Pradesh,Prakasam (Area 4),80,68,Road Dust
Andhra Pradesh,Prakasam (Area 5),266,51,Domestic Fuel
Andhra Pradesh,Prakasam (Area 6),131,121,Construction Dust
Andhra Pradesh,Srikakulam,223,72,Industrial Emissions
Andhra Pradesh,Srikakulam (Area 1),226,160,Domestic Fuel
Andhra Pradesh,Srikakulam (Area 2),85,84,Domestic Fuel
Andhra Pradesh,Srikakulam (Area 3),142,93,Waste Burning
Andhra Pradesh,Srikakulam (Area 4),116,110,Construction Dust
Andhra Pradesh,Srikakulam (Area 5),281,156,Vehicle
Andhra Pradesh,Srikakulam (Area 6),138,136,Crop Burning
Andhra Pradesh,Visakhapatnam,313,40,Vehicle
Andhra Pradesh,Visakhapatnam (Area 1),277,93,Industrial Emissions
Andhra Pradesh,Visakhapatnam (Area 2),131,79,Crop Burning
Andhra Pradesh,Visakhapatnam (Area 3),320,135,Vehicle
Andhra Pradesh,Visakhapatnam (Area 4),186,39,Domestic Fuel
Andhra Pradesh,Visakhapatnam (Area 5),83,83,Road Dust
Andhra Pradesh,Visakhapatnam (Area 6),238,49,Crop Burning
Andhra Pradesh,Vizianagaram,292,112,Vehicle
Andhra Pradesh,Vizianagaram (Area 1),188,175,Construction Dust
Andhra Pradesh,Vizianagaram (Area 2),270,65,Domestic Fuel
Andhra Pradesh,Vizianagaram (Area 3),238,41,Construction Dust
Andhra Pradesh,Vizianagaram (Area 4),178,156,Vehicle
Andhra Pradesh,Vizianagaram (Area 5),221,155,Vehicle
Andhra Pradesh,Vizianagaram (Area 6),304,48,Road Dust
Andhra Pradesh,West Godavari,238,175,Domestic Fuel
Andhra Pradesh,West Godavari (Area 1),113,95,Vehicle
Andhra Pradesh,West Godavari (Area 2),261,140,Waste Burning
Andhra Pradesh,West Godavari (Area 3),192,189,Crop Burning
Andhra Pradesh,West Godavari (Area 4),300,118,Construction Dust
Andhra Pradesh,West Godavari (Area 5),229,79,Waste Burning
Andhra Pradesh,West Godavari (Area 6),222,104,Domestic Fuel
Andhra Pradesh,YSR Kadapa,266,173,Domestic Fuel
Andhra Pradesh,YSR Kadapa (Area 1),135,80,Crop Burning
Andhra Pradesh,YSR Kadapa (Area 2),166,155,Vehicle
Andhra Pradesh,YSR Kadapa (Area 3),156,84,Crop Burning
Andhra Pradesh,YSR Kadapa (Area 4),257,179,Vehicle
Andhra Pradesh,YSR Kadapa (Area 5),133,48,Domestic Fuel
Andhra Pradesh,YSR Kadapa (Area 6),177,145,Crop Burning
Arunachal Pradesh,Tawang,161,116,Industrial Emissions
Arunachal Pradesh,Tawang (Area 1),260,113,Vehicle
Arunachal Pradesh,Tawang (Area 2),317,143,Vehicle
Arunachal Pradesh,Tawang (Area 3),311,125,Construction Dust
Arunachal Pradesh,Tawang (Area 4),163,154,Construction Dust
Arunachal Pradesh,Tawang (Area 5),300,112,Domestic Fuel
Arunachal Pradesh,Tawang (Area 6),111,48,Construction Dust
Arunachal Pradesh,West Kameng,232,117,Industrial Emissions
Arunachal Pradesh,West Kameng (Area 1),222,55,Domestic Fuel
Arunachal Pradesh,West Kameng (Area 2),173,48,Waste Burning
Arunachal Pradesh,West Kameng (Area 3),90,60,Vehicle
Arunachal Pradesh,West Kameng (Area 4),268,133,Domestic Fuel
Arunachal Pradesh,West Kameng (Area 5),219,175,Construction Dust
Arunachal Pradesh,West Kameng (Area 6),296,180,Vehicle
Arunachal Pradesh,East Kameng,68,61,Road Dust
Arunachal Pradesh,East Kameng (Area 1),236,163,Construction Dust
Arunachal Pradesh,East Kameng (Area 2),292,54,Construction Dust
Arunachal Pradesh,East Kameng (Area 3),207,46,Vehicle
Arunachal Pradesh,East Kameng (Area 4),118,104,Crop Burning
Arunachal Pradesh,East Kameng (Area 5),162,129,Vehicle
Arunachal Pradesh,East Kameng (Area 6),244,93,Industrial Emissions
Arunachal Pradesh,Papum Pare,245,145,Vehicle
Arunachal Pradesh,Papum Pare (Area 1),319,147,Crop Burning
Arunachal Pradesh,Papum Pare (Area 2),297,188,Waste Burning
Arunachal Pradesh,Papum Pare (Area 3),281,134,Industrial Emissions
Arunachal Pradesh,Papum Pare (Area 4),106,37,Waste Burning
Arunachal Pradesh,Papum Pare (Area 5),254,148,Waste Burning
Arunachal Pradesh,Papum Pare (Area 6),203,53,Industrial Emissions
Arunachal Pradesh,Kurung Kumey,305,170,Waste Burning
Arunachal Pradesh,Kurung Kumey (Area 1),254,119,Construction Dust
Arunachal Pradesh,Kurung Kumey (Area 2),142,109,Waste Burning
Arunachal Pradesh,Kurung Kumey (Area 3),123,99,Domestic Fuel
Arunachal Pradesh,Kurung Kumey (Area 4),177,133,Waste Burning
Arunachal Pradesh,Kurung Kumey (Area 5),316,70,Vehicle
Arunachal Pradesh,Kurung Kumey (Area 6),239,48,Road Dust
Arunachal Pradesh,Kra Daadi,179,32,Construction Dust
Arunachal Pradesh,Kra Daadi (Area 1),201,74,Construction Dust
Arunachal Pradesh,Kra Daadi (Area 2),265,148,Industrial Emissions
Arunachal Pradesh,Kra Daadi (Area 3),317,116,Waste Burning
Arunachal Pradesh,Kra Daadi (Area 4),118,53,Waste Burning
Arunachal Pradesh,Kra Daadi (Area 5),154,35,Domestic Fuel
Arunachal Pradesh,Kra Daadi (Area 6),83,61,Construction Dust
